# cosmological_parameters--omega_m	cosmological_parameters--h0	cosmological_parameters--omega_b	cosmological_parameters--n_s	cosmological_parameters--a_s	cosmological_parameters--omega_k	cosmological_parameters--tau	weight	post
# sampler=weighted_metropolis
4.664712999999999776e-01 5.481812000000000351e-01 7.590416146863701585e-02 9.730955000000000021e-01 2.188130999999999875e-09 -4.272994000000000098e-02 7.636292000000000080e-02 5.000000000000000000e+00 -5.640743999999999687e+03
4.756158999999999804e-01 5.330932999999999922e-01 7.929984026854314250e-02 9.859573000000000365e-01 2.082015000000000280e-09 -5.202952000000000271e-02 6.006584000000000229e-02 3.000000000000000000e+00 -5.637680999999999585e+03
4.829841999999999747e-01 5.371460000000000123e-01 7.762809438451313826e-02 9.756198999999999844e-01 2.013367000000000333e-09 -4.665338000000000124e-02 3.710346999999999951e-02 2.000000000000000000e+00 -5.641905999999999949e+03
7.122922999999999893e-01 4.340941999999999856e-01 1.225936257447763911e-01 9.875384999999999858e-01 2.037132999999999690e-09 -1.239098000000000005e-01 5.322994000000000336e-02 1.000000000000000000e+00 -5.643850000000000364e+03
5.602903000000000189e-01 5.059692000000000078e-01 8.760639352722568440e-02 9.665795999999999832e-01 2.070201999999999961e-09 -5.849556999999999674e-02 4.713567999999999925e-02 1.000000000000000000e+00 -5.632979999999999563e+03
5.072254999999999958e-01 5.284545999999999966e-01 8.056917006380219515e-02 9.671275999999999762e-01 1.947880000000000102e-09 -4.853654000000000301e-02 2.115473999999999827e-02 2.000000000000000000e+00 -5.633456000000000131e+03
4.540177000000000240e-01 5.490112000000000325e-01 7.443188528608322974e-02 9.781608999999999998e-01 2.107292000000000295e-09 -4.255993999999999750e-02 6.648289999999999755e-02 5.000000000000000000e+00 -5.641465000000000146e+03
4.933812000000000197e-01 5.333617999999999970e-01 7.957572772061329014e-02 9.753766000000000380e-01 2.194298999999999848e-09 -4.766614000000000267e-02 8.396460000000000035e-02 2.000000000000000000e+00 -5.637257999999999811e+03
5.657305000000000250e-01 4.972290000000000321e-01 9.147388705675786602e-02 9.714466999999999963e-01 2.046832000000000279e-09 -6.802391000000000687e-02 4.472965000000000274e-02 1.000000000000000000e+00 -5.636658000000000357e+03
5.231259999999999799e-01 5.260131999999999586e-01 8.021518341272958208e-02 9.629830999999999808e-01 2.006406000000000278e-09 -4.573714999999999725e-02 3.134396999999999878e-02 2.000000000000000000e+00 -5.640221999999999753e+03
5.261997000000000480e-01 5.237915000000000765e-01 8.098038919090379262e-02 9.639716000000000395e-01 2.010546000000000224e-09 -4.728436999999999918e-02 3.294302999999999815e-02 1.000000000000000000e+00 -5.636345999999999549e+03
4.300177000000000027e-01 5.646851000000000509e-01 7.081378696365990544e-02 9.813366000000000033e-01 2.197891999999999962e-09 -3.739677999999999752e-02 8.456052000000000013e-02 1.000000000000000000e+00 -5.637556999999999789e+03
4.172906000000000115e-01 5.748168999999999640e-01 6.850374955128704646e-02 9.802497000000000016e-01 2.216254000000000110e-09 -3.319277999999999812e-02 8.769475999999999660e-02 1.000000000000000000e+00 -5.636248999999999796e+03
7.185118999999999811e-01 4.450072999999999945e-01 1.143569600643170453e-01 9.736082999999999821e-01 1.939453000000000085e-09 -1.032991999999999938e-01 1.460915999999999951e-02 5.000000000000000000e+00 -5.640798999999999978e+03
5.515579999999999927e-01 5.019653000000000587e-01 8.980638655975738127e-02 9.751841999999999455e-01 1.946442999999999872e-09 -6.551258999999999555e-02 1.581834000000000018e-02 4.000000000000000000e+00 -5.643765000000000327e+03
4.193359999999999865e-01 5.796021000000000090e-01 6.577142481778407157e-02 9.663395000000000179e-01 2.095188999999999763e-09 -2.630789999999999865e-02 5.481388000000000232e-02 5.000000000000000000e+00 -5.636243999999999687e+03
3.895064999999999777e-01 5.954833999999999961e-01 6.352309511992040858e-02 9.746510999999999925e-01 2.116099000000000263e-09 -2.445585999999999940e-02 6.626535000000000064e-02 1.000000000000000000e+00 -5.640399000000000342e+03
6.060617999999999839e-01 4.758666999999999758e-01 1.009166226242022429e-01 9.837312999999999752e-01 2.067043999999999960e-09 -8.525409999999999933e-02 5.359698999999999713e-02 1.000000000000000000e+00 -5.637005000000000109e+03
5.087334999999999496e-01 5.260620000000000296e-01 8.241139268506887661e-02 9.766761999999999944e-01 2.141049000000000265e-09 -5.246299000000000101e-02 6.733400999999999970e-02 2.000000000000000000e+00 -5.641390000000000327e+03
